Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH DAKOTA,2019,43,,-,3,,10,,14,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194327
SOUTH ATLANTIC,2019,43,5,,68,,532,,631,,,-,0,,,-,2,,,SOUTH ATLANTIC,20194328
DELAWARE,2019,43,,-,0,,,-,,-,,-,0,,,-,1,,"DELAWARE
(38.994926, -75.452394)",,20194329
DISTRICT OF COLUMBIA,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194330
FLORIDA,2019,43,,-,62,,100,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20194331
GEORGIA,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194332
MARYLAND,2019,43,,-,9,,112,,234,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20194333
NORTH CAROLINA,2019,43,5,,15,,274,,261,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20194334
SOUTH CAROLINA,2019,43,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194335
VIRGINIA,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194336
WEST VIRGINIA,2019,43,,-,5,,46,,25,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20194337
EAST SOUTH CENTRAL,2019,43,,-,7,,57,,72,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20194338
ALABAMA,2019,43,,-,4,,41,,50,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194339
KENTUCKY,2019,43,,-,5,,14,,17,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20194340
MISSISSIPPI,2019,43,,-,1,,2,,5,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194341
TENNESSEE,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194342
WEST SOUTH CENTRAL,2019,43,,-,24,,168,,640,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20194343
ARKANSAS,2019,43,,-,7,,24,,28,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194344
LOUISIANA,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194345
OKLAHOMA,2019,43,,-,7,,22,,16,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194346
TEXAS,2019,43,,-,20,,122,,596,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20194347
MOUNTAIN,2019,43,,-,6,,54,,84,,,-,0,,,-,1,,,MOUNTAIN,20194348
ARIZONA,2019,43,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20194349
COLORADO,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20194350
IDAHO,2019,43,,-,0,,,-,12,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194351
MONTANA,2019,43,,-,4,,16,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20194352
NEVADA,2019,43,,-,1,,5,,10,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194353
NEW MEXICO,2019,43,,-,2,,19,,14,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20194354
UTAH,2019,43,,-,3,,11,,14,,,-,0,,,-,1,,"UTAH
(39.323779, -111.678222)",,20194355
WYOMING,2019,43,,-,2,,3,,34,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194356
PACIFIC,2019,43,,-,40,,211,,177,,,-,0,,,-,,-,,PACIFIC,20194357
ALASKA,2019,43,,-,2,,7,,8,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20194358
CALIFORNIA,2019,43,,-,12,,202,,155,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194359
HAWAII,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194360
OREGON,2019,43,,-,3,,2,,14,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194361
WASHINGTON,2019,43,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194362
US TERRITORIES,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194363
AMERICAN SAMOA,2019,43,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20194364
NORTHERN MARIANA ISLANDS,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194365
GUAM,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194366
PUERTO RICO,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194367
U.S. VIRGIN ISLANDS,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194368
NON-US RESIDENTS,2019,43,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194369
TOTAL,2019,43,16,,79,,1832,,2588,,,-,0,,,-,3,,,TOTAL,20194370
US RESIDENTS,2019,44,15,,80,,2174,,2641,,,-,0,,,-,3,,,US RESIDENTS,20194401
NEW ENGLAND,2019,44,2,,9,,133,,170,,,-,0,,,-,,-,,NEW ENGLAND,20194402
CONNECTICUT,2019,44,,-,2,,8,,40,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194403
MAINE,2019,44,2,,6,,77,,66,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194404
MASSACHUSETTS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194405
NEW HAMPSHIRE,2019,44,,-,3,,18,,26,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194406
RHODE ISLAND,2019,44,,-,6,,17,,19,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194407
VERMONT,2019,44,,-,3,,13,,19,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194408
MIDDLE ATLANTIC,2019,44,9,,22,,470,,554,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194409
NEW JERSEY,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194410
NEW YORK,2019,44,9,,22,,470,,541,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194411
NEW YORK CITY,2019,44,,-,1,,,-,13,,,-,0,,,-,,-,,NEW YORK CITY,20194412
PENNSYLVANIA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194413
EAST NORTH CENTRAL,2019,44,,-,11,,142,,199,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20194414
ILLINOIS,2019,44,,-,7,,54,,81,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194415
INDIANA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194416
MICHIGAN,2019,44,,-,6,,46,,71,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194417
OHIO,2019,44,,-,4,,42,,47,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20194418
WISCONSIN,2019,44,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194419
WEST NORTH CENTRAL,2019,44,,-,6,,81,,83,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194420
IOWA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194421
KANSAS,2019,44,,-,3,,29,,28,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194422
MINNESOTA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194423
MISSOURI,2019,44,,-,4,,23,,19,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194424
NEBRASKA,2019,44,,-,3,,20,,22,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20194425
NORTH DAKOTA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194426
SOUTH DAKOTA,2019,44,,-,3,,9,,14,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194427
SOUTH ATLANTIC,2019,44,1,,68,,534,,643,,,-,0,,,-,2,,,SOUTH ATLANTIC,20194428
DELAWARE,2019,44,,-,0,,,-,,-,,-,0,,,-,1,,"DELAWARE
(38.994926, -75.452394)",,20194429
DISTRICT OF COLUMBIA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194430
FLORIDA,2019,44,,-,62,,101,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20194431
GEORGIA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194432
MARYLAND,2019,44,,-,9,,112,,235,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20194433
NORTH CAROLINA,2019,44,,-,15,,274,,270,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20194434
SOUTH CAROLINA,2019,44,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194435
VIRGINIA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194436
WEST VIRGINIA,2019,44,1,,5,,47,,27,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20194437
EAST SOUTH CENTRAL,2019,44,,-,7,,59,,74,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20194438
ALABAMA,2019,44,,-,4,,43,,52,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194439
KENTUCKY,2019,44,,-,5,,14,,17,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20194440
MISSISSIPPI,2019,44,,-,1,,2,,5,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194441
TENNESSEE,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194442
WEST SOUTH CENTRAL,2019,44,3,,29,,488,,650,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20194443
ARKANSAS,2019,44,,-,7,,24,,28,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194444
LOUISIANA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194445
OKLAHOMA,2019,44,,-,7,,22,,16,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194446
TEXAS,2019,44,3,,29,,442,,606,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20194447
MOUNTAIN,2019,44,,-,6,,56,,85,,,-,0,,,-,1,,,MOUNTAIN,20194448
ARIZONA,2019,44,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20194449
COLORADO,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20194450
IDAHO,2019,44,,-,0,,,-,12,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194451
MONTANA,2019,44,,-,4,,16,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20194452
NEVADA,2019,44,,-,1,,5,,11,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194453
NEW MEXICO,2019,44,,-,3,,21,,14,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20194454
UTAH,2019,44,,-,3,,11,,14,,,-,0,,,-,1,,"UTAH
(39.323779, -111.678222)",,20194455
WYOMING,2019,44,,-,2,,3,,34,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194456
PACIFIC,2019,44,,-,40,,211,,183,,,-,0,,,-,,-,,PACIFIC,20194457
ALASKA,2019,44,,-,2,,7,,8,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20194458
CALIFORNIA,2019,44,,-,12,,202,,161,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194459
HAWAII,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194460
OREGON,2019,44,,-,1,,2,,14,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194461
WASHINGTON,2019,44,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194462
US TERRITORIES,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194463
AMERICAN SAMOA,2019,44,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20194464
NORTHERN MARIANA ISLANDS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194465
GUAM,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194466
PUERTO RICO,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194467
U.S. VIRGIN ISLANDS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194468
NON-US RESIDENTS,2019,44,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194469
TOTAL,2019,44,15,,80,,2174,,2641,,,-,0,,,-,3,,,TOTAL,20194470
US RESIDENTS,2019,45,19,,80,,2212,,2698,,,-,0,,,-,3,,,US RESIDENTS,20194501
NEW ENGLAND,2019,45,1,,9,,134,,170,,,-,0,,,-,,-,,NEW ENGLAND,20194502
CONNECTICUT,2019,45,,-,2,,8,,40,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194503
MAINE,2019,45,1,,6,,78,,66,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194504
MASSACHUSETTS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194505
NEW HAMPSHIRE,2019,45,,-,3,,18,,26,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194506
RHODE ISLAND,2019,45,,-,6,,17,,19,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194507
VERMONT,2019,45,,-,3,,13,,19,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194508
MIDDLE ATLANTIC,2019,45,9,,22,,479,,567,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194509
NEW JERSEY,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194510
NEW YORK,2019,45,9,,22,,479,,554,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194511
NEW YORK CITY,2019,45,,-,1,,,-,13,,,-,0,,,-,,-,,NEW YORK CITY,20194512
PENNSYLVANIA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194513
EAST NORTH CENTRAL,2019,45,,-,12,,143,,202,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20194514
ILLINOIS,2019,45,,-,7,,54,,82,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194515
INDIANA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194516
MICHIGAN,2019,45,,-,6,,47,,71,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194517
OHIO,2019,45,,-,4,,42,,49,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20194518
WISCONSIN,2019,45,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194519
WEST NORTH CENTRAL,2019,45,,-,6,,83,,85,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194520
IOWA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194521
KANSAS,2019,45,,-,3,,29,,29,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194522
MINNESOTA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194523
MISSOURI,2019,45,,-,4,,23,,19,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194524
NEBRASKA,2019,45,,-,3,,20,,22,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20194525
NORTH DAKOTA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194526
SOUTH DAKOTA,2019,45,,-,3,,11,,15,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194527
SOUTH ATLANTIC,2019,45,8,,68,,552,,656,,,-,0,,,-,2,,,SOUTH ATLANTIC,20194528
DELAWARE,2019,45,,-,0,,,-,,-,,-,0,,,-,1,,"DELAWARE
(38.994926, -75.452394)",,20194529
DISTRICT OF COLUMBIA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194530
FLORIDA,2019,45,,-,62,,106,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20194531
GEORGIA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194532
MARYLAND,2019,45,,-,9,,112,,241,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20194533
NORTH CAROLINA,2019,45,5,,15,,284,,277,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20194534
SOUTH CAROLINA,2019,45,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194535
VIRGINIA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194536
WEST VIRGINIA,2019,45,3,,5,,50,,27,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20194537
EAST SOUTH CENTRAL,2019,45,,-,7,,60,,75,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20194538
ALABAMA,2019,45,,-,4,,43,,53,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194539
KENTUCKY,2019,45,,-,5,,14,,17,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20194540
MISSISSIPPI,2019,45,,-,1,,3,,5,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194541
TENNESSEE,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194542
WEST SOUTH CENTRAL,2019,45,1,,29,,489,,671,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20194543
ARKANSAS,2019,45,,-,7,,24,,28,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194544
LOUISIANA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194545
OKLAHOMA,2019,45,1,,7,,23,,17,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194546
TEXAS,2019,45,,-,29,,442,,626,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20194547
MOUNTAIN,2019,45,,-,6,,56,,85,,,-,0,,,-,1,,,MOUNTAIN,20194548
ARIZONA,2019,45,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20194549
COLORADO,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20194550
IDAHO,2019,45,,-,0,,,-,12,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194551
MONTANA,2019,45,,-,4,,16,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20194552
NEVADA,2019,45,,-,1,,5,,11,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194553
NEW MEXICO,2019,45,,-,3,,21,,14,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20194554
UTAH,2019,45,,-,3,,11,,14,,,-,0,,,-,1,,"UTAH
(39.323779, -111.678222)",,20194555
WYOMING,2019,45,,-,2,,3,,34,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194556
PACIFIC,2019,45,,-,40,,216,,187,,,-,0,,,-,,-,,PACIFIC,20194557
ALASKA,2019,45,,-,2,,7,,8,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20194558
CALIFORNIA,2019,45,,-,12,,207,,164,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194559
HAWAII,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194560
OREGON,2019,45,,-,1,,2,,15,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194561
WASHINGTON,2019,45,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194562
US TERRITORIES,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194563
AMERICAN SAMOA,2019,45,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20194564
NORTHERN MARIANA ISLANDS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194565
GUAM,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194566
PUERTO RICO,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194567
U.S. VIRGIN ISLANDS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194568
NON-US RESIDENTS,2019,45,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194569
TOTAL,2019,45,19,,80,,2212,,2698,,,-,0,,,-,3,,,TOTAL,20194570
US RESIDENTS,2019,46,31,,80,,2254,,2729,,,-,0,,,-,3,,,US RESIDENTS,20194601
NEW ENGLAND,2019,46,,-,9,,135,,170,,,-,0,,,-,,-,,NEW ENGLAND,20194602
CONNECTICUT,2019,46,,-,2,,8,,40,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194603
MAINE,2019,46,,-,6,,79,,66,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194604
MASSACHUSETTS,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194605
NEW HAMPSHIRE,2019,46,,-,3,,18,,26,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194606
RHODE ISLAND,2019,46,,-,6,,17,,19,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194607
VERMONT,2019,46,,-,3,,13,,19,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194608
MIDDLE ATLANTIC,2019,46,27,,22,,506,,575,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194609
NEW JERSEY,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194610
NEW YORK,2019,46,27,,22,,506,,562,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194611
NEW YORK CITY,2019,46,,-,1,,,-,13,,,-,0,,,-,,-,,NEW YORK CITY,20194612
PENNSYLVANIA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194613
EAST NORTH CENTRAL,2019,46,,-,12,,144,,204,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20194614
ILLINOIS,2019,46,,-,7,,54,,82,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194615
INDIANA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194616
MICHIGAN,2019,46,,-,6,,48,,72,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194617
OHIO,2019,46,,-,4,,42,,50,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20194618
WISCONSIN,2019,46,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194619
WEST NORTH CENTRAL,2019,46,,-,7,,87,,85,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194620
IOWA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194621
KANSAS,2019,46,,-,3,,29,,29,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194622
MINNESOTA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194623
MISSOURI,2019,46,,-,4,,23,,19,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194624
NEBRASKA,2019,46,,-,3,,20,,22,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20194625
NORTH DAKOTA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194626
SOUTH DAKOTA,2019,46,,-,4,,15,,15,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194627
SOUTH ATLANTIC,2019,46,3,,68,,560,,659,,,-,0,,,-,2,,,SOUTH ATLANTIC,20194628
DELAWARE,2019,46,,-,0,,,-,,-,,-,0,,,-,1,,"DELAWARE
(38.994926, -75.452394)",,20194629
DISTRICT OF COLUMBIA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194630
FLORIDA,2019,46,,-,62,,111,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20194631
GEORGIA,2019,46,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194632
